"","O3","CO","NO","NO2","PM10","SO2"
"xi < 0",0,0,0.0085,5e-04,0,0
"xi > 0",0.025,0.004,0,0,0.0295,0.275
"xi = 0",0.526431601135316,0.00596842000573616,0.000408436153554792,0.330315887696719,0.166640786525624,8.83932038675539e-10
