"","V1","V2","V3","V4"
"119",0.001,0.597154774904736,1.7983859429486,0.260586976497434
"120",0.0197007950387456,0.523341933360962,1.44579303406546,0.0236409541147912
"121",0.0263946040201568,0.521574664427829,1.53221125628655,0.0316735248297858
"122",0.001,0.863263183538943,2.58240772401946,0.345312413582578
"123",0.001,0.576790116539096,1.62830238979883,0.925224284701981
"124",0.001,0.784031357699833,2.33916113241737,0.652586767110042
"125",0.001,0.679469323934588,2.12227714164545,0.85545002236031
"126",0.001,0.525065212785178,1.51701520357226,0.0010676864663565
"127",0.001,0.639627240815038,1.78868438495164,0.0720281286071986
"128",0.209159441121739,0.604935044773957,1.35316071150558,0.250991329375477
"129",0.0535376069171497,0.516365774312766,1.38248016331327,0.0642451283281868
"130",0.001,0.803474166539909,2.41973556496843,0.777453816593625
"131",0.00970376337027757,0.530884396330928,1.58012244010961,0.0116445160304141
"132",0.00266283158387772,0.753228060885939,2.15234324254226,0.00319539774184719
"133",0.001,0.522459986229329,1.51706573921068,0.332477311822586
"134",0.001,0.567909313435386,1.58812892289593,0.710441595995799
"135",0.001,0.586485964434669,1.85360649367277,0.278197623868473
"136",0.13390003393133,0.641568570939652,1.57991260847483,0.160680040717582
"137",0.001,0.794348738144608,2.43202437053076,0.95620914708823
"138",0.213418480626368,0.550063075116188,1.2554042932711,0.256102176751664
"139",0.0435795534556041,0.609622664308415,1.65332606338947,0.0522954641467251
"140",0.001,0.572428272002005,1.79581252262921,0.770117703522555
"141",0.001,0.554228943550586,1.93282768084333,0.482326641324907
"142",0.001,0.775788384046904,2.45190247267277,0.203956508794799
"143",0.109659760091645,0.597759367543489,1.54751785479656,0.131591712109974
"144",0.216631901189866,0.590955153060696,1.35243456383521,0.259958281427839
"145",0.142504642223795,0.563604320115857,1.42753656697475,0.171005570668554
"146",0.126782952938559,0.610443179432844,1.5671491990019,0.152139543560492
"147",0.001,0.72204083993064,2.17743592855485,0.579344905470498
"148",0.001,0.639627240815038,1.78868438495164,0.469515321417712
"149",0.118944221849639,0.532911028210712,1.37726631906536,0.14273306625317
"150",0.001,0.680343756396056,2.10067460928586,0.341319286595099
"151",0.001,0.53725676854235,1.52951969934881,0.515691678435542
"152",0.001,0.60517194670084,1.84256008866363,0.139739497420378
"153",0.001,0.488715220101809,1.50047915857224,0.913289715927094
"154",0.0124381197521093,0.678683739789831,1.84246238587097,0.014925743660738
"155",0.001,0.592199121306716,1.88296146738076,0.465240600020625
"156",0.0481089216363681,0.610565206696801,1.67465946902093,0.0577307059503336
"157",0.0895079617474597,0.635440874169759,1.66597622646378,0.107409554096952
"158",0.001,0.579280454426057,1.65316852767111,0.682165030580945
"159",0.0224697451813808,0.707706594540771,2.06381453820116,0.02694753907027
"160",0.0736942988843856,0.489270481238039,1.2938652763699,0.0884331586569085
"161",0.074214088766238,0.879863781916183,2.36635252550004,0.0890569065293217
"162",0.001,0.69964889715492,2.08740567643218,0.309931133124046
"163",0.001,0.578714363747264,1.63568751345975,0.787600891394541
"164",0.001,0.689029003376259,2.08070432048623,0.704587765000761
"165",0.0608441132072478,0.580073346495509,1.57719563812496,0.0730129358691761
"166",0.001,0.665122878507585,2.0250920034814,0.0857262103399262
"167",0.00948311905976427,0.750035747982325,2.09715629804582,0.0113797429345951
"168",0.198813345349257,0.501634442949214,1.13680270913045,0.238576014419108
"169",0.001,0.648353776844447,1.8109643983567,0.253208008948714
"170",0.001,0.656437518981548,2.08092252574578,0.581891041249037
"171",0.00203424719489868,0.750283730966877,2.13542859640988,0.00244109635851883
"172",0.0608555663912471,0.697116363238722,1.82663062089365,0.073026679660684
"173",0.0750895383611809,0.813144434334272,2.22438919533417,0.0901074460118601
"174",0.001,0.676818750683541,2.03830125505985,0.265643124203198
"175",0.240624735089592,0.536021702489189,1.17028611839858,0.288749682107511
"176",0.209918143512292,0.485732718215204,1.0770939446084,0.251901772214751
"177",0.0146176629745189,0.628131416670652,1.8316835414287,0.0175411956499795
"178",0.0356554737692814,0.600496431122098,1.66670842446062,0.0427865685231381
"179",0.107821252452855,0.589361010933257,1.47431973755348,0.129385502952548
"180",0.001,0.563486214371731,1.92244233711727,0.403449086816981
"181",0.001,0.741497988616011,2.28301412700174,0.680184434186667
"182",0.001,0.649541927581847,1.81641029196411,0.0599302388960496
"183",0.001,0.68115430369237,2.18577553363586,0.28067714410834
"184",0.001,0.590959037098235,1.66235933151632,0.879563494143076
"185",0.0151505431475615,0.737212560825493,2.03064085713108,0.0181806517882786
"186",0.001,0.676303244054437,2.01242344499682,0.854943850939162
"187",0.001,0.57818902260902,1.75797841244613,0.312464154325426
"188",0.0943355148237688,0.611612553789808,1.57984793341855,0.113202617800264
"189",0.0976438448911777,0.484239791076338,1.27404270255845,0.117172613924122
"190",0.0932897543900941,0.601657305630941,1.60642362497389,0.111947705267832
"191",0.001,0.611424277117468,1.92667478651382,0.798081499119289
"192",0.00741326042028324,0.503801233275903,1.44216419662529,0.00888426530726217
"193",0.103514245407585,0.605248854042082,1.5450561712728,0.124217094489106
"194",0.103760353223055,0.567419968889229,1.51019465675322,0.124512423867629
"195",0.001,0.686634216077056,2.08483480089072,0.163462590686977
"196",0.001,0.589414048551415,1.77747747098919,0.0903563001845032
"197",0.001,0.717157782718857,2.148206658947,0.336826810296625
"198",0.0997401556039222,0.465868936442606,1.20926365414346,0.119688186724707
"199",0.0592360802275484,0.656775046205145,1.75644080199854,0.0710832962073031
"200",0.001,0.630154616628954,1.72800077084614,0.923003983418457
"201",0.103760353223055,0.567419968889229,1.51019465675322,0.124512423867629
