"","params.N","params.delta","params.sub_length","params.trials","numerics.xi","numerics.sigma","numerics.kappa","numerics.rho"
"O3",157000,5,5000,1,-0.0594014004723745,0.55890383084993,1.70739800518736,0.108263673387405
"CO",157000,5,5000,1,0.0447103041396386,1.26387848531773,3.68475755440435,0.126896100316792
"NO",157000,5,5000,1,-0.100277125643148,1.82146802640365,2.67207740205053,0.0672335753649934
"NO2",157000,5,5000,1,-0.0107194056126125,0.593366272393629,1.87248740480501,0.0923670857187386
"PM10",157000,5,5000,1,0.139483264404858,1.03507545206053,2.55117455435559,0.0788046281566991
"SO2",157000,5,5000,1,0.382821082323649,0.865453499030863,1.58904111814581,0.0672335753649934
